Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,Chloé,Chloé eau de parfum for women,https://www.notino.co.uk/chloe/chloe-eau-de-parfum-for-women/,22.60,N/A,2023-11-16,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
2,HERMÈS,Twilly d’Hermès eau de parfum for women,https://www.notino.co.uk/hermes/twilly-dhermes-eau-de-parfum-for-women/,66.00,N/A,2023-11-16,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
3,Burberry,Burberry for Women eau de parfum for women,https://www.notino.co.uk/burberry/london-for-women1995-eau-de-parfum-for-women/,16.00,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
4,Burberry,Her eau de parfum for women,https://www.notino.co.uk/burberry/her-eau-de-parfum-for-women/,41.50,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
5,Carolina Herrera,Good Girl eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-eau-de-parfum-for-women/,20.20,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
6,Burberry,London for Women eau de parfum for women,https://www.notino.co.uk/burberry/london-for-women2006-eau-de-parfum-for-women/,18.20,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
7,Burberry,Weekend for Women eau de parfum for women,https://www.notino.co.uk/burberry/weekend-for-women-eau-de-parfum-for-women/,20.20,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
8,Marc Jacobs,Daisy Ever So Fresh eau de parfum for women 75 ml,https://www.notino.co.uk/marc-jacobs/daisy-ever-so-fresh-eau-de-parfum-for-women/,51.60,N/A,2023-11-16,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
9,Viktor & Rolf,Flowerbomb eau de parfum for women,https://www.notino.co.uk/viktor-rolf/flowerbomb-eau-de-parfum-for-women/,55.20,N/A,2023-11-16,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
10,Carolina Herrera,Very Good Girl Glam eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-glam-eau-de-parfum-for-women/,18.60,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
11,Mugler,Alien eau de parfum refillable for women,https://www.notino.co.uk/thierry-mugler/alien-eau-de-parfum-for-women-refillable/,20.90,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
12,Carolina Herrera,Good Girl Légère eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-legere-eau-de-parfum-for-women/,37.50,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
13,Burberry,My Burberry Black eau de parfum for women,https://www.notino.co.uk/burberry/my-burberry-black-eau-de-parfum-for-women/,65.60,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
14,Burberry,Brit for Her eau de parfum for women,https://www.notino.co.uk/burberry/brit-eau-de-parfum-for-women/,29.00,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
15,Burberry,My Burberry eau de parfum for women,https://www.notino.co.uk/burberry/my-burberry-eau-de-parfum-for-women/,48.70,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
16,Burberry,Touch for Women eau de parfum for women,https://www.notino.co.uk/burberry/touch-for-women-eau-de-parfum-for-women/,27.50,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
17,Burberry,Goddess eau de parfum refillable for women,https://www.notino.co.uk/burberry/goddess-eau-de-parfum-refillable-for-women/,23.50,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
18,Burberry,Her Elixir de Parfum eau de parfum (intense) for women,https://www.notino.co.uk/burberry/her-elixir-de-parfum-perfume-for-women/,24.10,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
19,Versace,Woman eau de parfum for women,https://www.notino.co.uk/versace/versace-woman-eau-de-parfum-for-women/,36.60,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
20,Lattafa,Khamrah eau de parfum unisex 100 ml,https://www.notino.co.uk/lattafa/khamrah-eau-de-parfum-unisex/,46.00,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
21,Carolina Herrera,Very Good Girl eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-very-good-girl-eau-de-parfum-for-women/,49.80,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
22,Lancôme,La Vie Est Belle gift set for women,https://www.notino.co.uk/lancome/la-vie-est-belle-christmas-gift-set-for-women/,66.70,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
23,Versace,Crystal Noir eau de parfum for women,https://www.notino.co.uk/versace/crystal-noir-eau-de-parfum-for-women/,78.90,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
24,Carolina Herrera,Good Girl Blush eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-blush-eau-de-parfum-for-women/,63.60,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
25,Mancera,Red Tobacco eau de parfum unisex,https://www.notino.co.uk/mancera/red-tobacco-eau-de-parfum-unisex/,62.20,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
26,Versace,Yellow Diamond Intense eau de parfum for women,https://www.notino.co.uk/versace/yellow-diamond-intense-eau-de-parfum-for-women/,42.90,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
27,Yves Saint Laurent,Black Opium eau de parfum for women,https://www.notino.co.uk/yves-saint-laurent/black-opium-eau-de-parfum-for-women/,47.80,N/A,2023-11-16,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
