Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,Chloé,Chloé,https://www.notino.co.uk/chloe/chloe-eau-de-parfum-for-women/,22.5,N/A,2023-12-20,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
2,HERMÈS,Tutti Twilly d'Hermès Eau de Parfum,https://www.notino.co.uk/hermes/tutti-twilly-eau-de-parfum-eau-de-parfum-for-women/,65.3,N/A,2023-12-20,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
3,Versace,Woman,https://www.notino.co.uk/versace/versace-woman-eau-de-parfum-for-women/,31.1,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
4,Versace,Dylan Purple Pour Femme,https://www.notino.co.uk/versace/dylan-purple-eau-de-parfum-for-women/,37.1,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
5,Carolina Herrera,Good Girl,https://www.notino.co.uk/carolina-herrera/good-girl-eau-de-parfum-for-women/,22.1,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
6,Burberry,London for Women,https://www.notino.co.uk/burberry/london-for-women2006-eau-de-parfum-for-women/,16.8,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
7,Burberry,Burberry for Women,https://www.notino.co.uk/burberry/london-for-women1995-eau-de-parfum-for-women/,17.7,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
8,Viktor & Rolf,GOOD FORTUNE,https://www.notino.co.uk/viktor-rolf/good-fortune-eau-de-parfum-for-women/,43.0,N/A,2023-12-20,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
9,Burberry,Her,https://www.notino.co.uk/burberry/her-eau-de-parfum-for-women/,47.7,N/A,2023-12-20,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
10,Burberry,My Burberry,https://www.notino.co.uk/burberry/my-burberry-eau-de-parfum-for-women/,47.7,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
11,Mugler,Alien,https://www.notino.co.uk/thierry-mugler/alien-eau-de-parfum-for-women-refillable/,16.5,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
12,Burberry,Weekend for Women,https://www.notino.co.uk/burberry/weekend-for-women-eau-de-parfum-for-women/,16.8,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
13,Versace,Crystal Noir,https://www.notino.co.uk/versace/crystal-noir-eau-de-parfum-for-women/,42.4,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
14,Burberry,My Burberry Black,https://www.notino.co.uk/burberry/my-burberry-black-eau-de-parfum-for-women/,66.0,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
15,Burberry,Touch for Women,https://www.notino.co.uk/burberry/touch-for-women-eau-de-parfum-for-women/,24.0,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
16,Burberry,Brit for Her,https://www.notino.co.uk/burberry/brit-eau-de-parfum-for-women/,25.5,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
17,Versace,Dylan Blue Pour Femme,https://www.notino.co.uk/versace/dylan-blue-pour-femme-eau-de-parfum-for-women/,36.7,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
18,HERMÈS,Elixir Des Merveilles,https://www.notino.co.uk/hermes/elixir-des-merveilles-eau-de-parfum-for-women/,140.4,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
19,Carolina Herrera,Good Girl Blush,https://www.notino.co.uk/carolina-herrera/good-girl-blush-eau-de-parfum-for-women/,78.6,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
20,Burberry,Her Elixir de Parfum,https://www.notino.co.uk/burberry/her-elixir-de-parfum-perfume-for-women/,24.4,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
21,Versace,Eros Pour Femme,https://www.notino.co.uk/versace/eros-pour-femme-eau-de-parfum-for-women/,38.8,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
22,Gucci,Flora Gorgeous Gardenia,https://www.notino.co.uk/gucci/flora-gorgeous-gardenia-eau-de-parfum-for-women/,23.3,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
23,Versace,Yellow Diamond Intense,https://www.notino.co.uk/versace/yellow-diamond-intense-eau-de-parfum-for-women/,36.5,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
24,Gucci,Intense Oud,https://www.notino.co.uk/gucci/intense-oud-eau-de-parfum-unisex/,95.0,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
25,Yves Saint Laurent,Black Opium,https://www.notino.co.uk/yves-saint-laurent/black-opium-eau-de-parfum-for-women/,53.0,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
26,Lancôme,La Vie Est Belle,https://www.notino.co.uk/lancome/la-vie-est-belle-eau-de-parfum-for-women/,37.6,N/A,2023-12-20,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
