Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,Chloé,Chloé,https://www.notino.co.uk/chloe/chloe-eau-de-parfum-for-women/,20.5,N/A,2023-12-26,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
2,Burberry,Her,https://www.notino.co.uk/burberry/her-eau-de-parfum-for-women/,42.0,N/A,2023-12-26,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
3,Lancôme,La Vie Est Belle,https://www.notino.co.uk/lancome/la-vie-est-belle-eau-de-parfum-for-women/,37.6,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
4,Yves Saint Laurent,Black Opium,https://www.notino.co.uk/yves-saint-laurent/black-opium-eau-de-parfum-for-women/,47.3,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
5,Marc Jacobs,Daisy,https://www.notino.co.uk/marc-jacobs/daisy-eau-de-toilette-for-women/,35.0,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
6,Coty,Exclamation,https://www.notino.co.uk/coty/exclamation-eau-de-cologne-for-women/,5.4,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
7,Gucci,Flora Gorgeous Gardenia,https://www.notino.co.uk/gucci/flora-gorgeous-gardenia-eau-de-parfum-for-women/,23.5,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
8,Viktor & Rolf,GOOD FORTUNE,https://www.notino.co.uk/viktor-rolf/good-fortune-eau-de-parfum-for-women/,43.0,N/A,2023-12-26,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
9,Marc Jacobs,Daisy Ever So Fresh,https://www.notino.co.uk/marc-jacobs/daisy-ever-so-fresh-eau-de-parfum-for-women/,48.8,N/A,2023-12-26,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
10,Elie Saab,Girl of Now,https://www.notino.co.uk/elie-saab/girl-of-now-eau-de-parfum-for-women/,35.6,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
11,Sol de Janeiro,Brazilian Crush Cheirosa '68,https://www.notino.co.uk/sol-de-janeiro/brazilian-crush-cheirosa68-perfumed-body-and-hair-mist-for-women/,18.8,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
12,GUERLAIN,Insolence,https://www.notino.co.uk/guerlain/insolence-eau-de-parfum-for-women/,58.1,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
13,Bottega Veneta,Bottega Veneta,https://www.notino.co.uk/bottega-veneta/veneta-eau-de-parfum-for-women/,61.6,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
14,Gucci,Intense Oud,https://www.notino.co.uk/gucci/intense-oud-eau-de-parfum-unisex/,83.9,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
15,Sol de Janeiro,Brazilian Crush Cheirosa '62,https://www.notino.co.uk/sol-de-janeiro/brazilian-crush-cheirosa62-perfumed-body-and-hair-mist-for-women/,16.9,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
16,Sol de Janeiro,Bom Dia™ Jet Set,https://www.notino.co.uk/sol-de-janeiro/bom-dia-jet-set-gift-setfor-body/,24.0,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
17,GUERLAIN,Samsara,https://www.notino.co.uk/guerlain/samsara-eau-de-parfum-for-women/,65.4,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
18,Calvin Klein,Eternity,https://www.notino.co.uk/calvin-klein/eternity-eau-de-parfum-for-women/,31.5,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
19,Burberry,Touch for Women,https://www.notino.co.uk/burberry/touch-for-women-eau-de-parfum-for-women/,24.0,N/A,2023-12-26,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
