Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,Chloé,Chloé eau de parfum for women,https://www.notino.co.uk/chloe/chloe-eau-de-parfum-for-women/,20.30,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
2,HERMÈS,Tutti Twilly d'Hermès Eau de Parfum eau de parfum for women,https://www.notino.co.uk/hermes/tutti-twilly-eau-de-parfum-eau-de-parfum-for-women/,68.00,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
3,Mugler,Alien eau de parfum refillable for women,https://www.notino.co.uk/thierry-mugler/alien-eau-de-parfum-for-women-refillable/,18.80,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
4,Lancôme,La Vie Est Belle eau de parfum refillable for women,https://www.notino.co.uk/lancome/la-vie-est-belle-eau-de-parfum-for-women/,49.50,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
5,Gucci,Intense Oud eau de parfum unisex 90 ml,https://www.notino.co.uk/gucci/intense-oud-eau-de-parfum-unisex/,83.70,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
6,Yves Saint Laurent,Black Opium eau de parfum for women,https://www.notino.co.uk/yves-saint-laurent/black-opium-eau-de-parfum-for-women/,48.50,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
7,Mancera,Cedrat Boise eau de parfum unisex,https://www.notino.co.uk/mancera/cedrat-boise-eau-de-parfum-unisex/,61.70,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
8,Gucci,Flora Gorgeous Gardenia eau de parfum for women,https://www.notino.co.uk/gucci/flora-gorgeous-gardenia-eau-de-parfum-for-women/,21.50,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
9,Montale,Intense Cafe eau de parfum unisex,https://www.notino.co.uk/montale/intense-cafe-eau-de-parfum-unisex/,77.90,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
10,Calvin Klein,Euphoria eau de parfum for women,https://www.notino.co.uk/calvin-klein/euphoria-eau-de-parfum-for-women/,23.50,N/A,2023-10-29,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
