Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,Chloé,Chloé,https://www.notino.co.uk/chloe/chloe-eau-de-parfum-for-women/,22.6,N/A,2023-12-22,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
2,GUERLAIN,Insolence,https://www.notino.co.uk/guerlain/insolence-eau-de-parfum-for-women/,58.1,N/A,2023-12-22,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
3,Lancôme,La Vie Est Belle,https://www.notino.co.uk/lancome/la-vie-est-belle-eau-de-parfum-for-women/,37.6,N/A,2023-12-22,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
4,Yves Saint Laurent,Black Opium,https://www.notino.co.uk/yves-saint-laurent/black-opium-eau-de-parfum-for-women/,53.0,N/A,2023-12-22,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
5,Marc Jacobs,Daisy,https://www.notino.co.uk/marc-jacobs/daisy-eau-de-toilette-for-women/,52.1,N/A,2023-12-22,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
6,Sol de Janeiro,Bom Dia™ Jet Set,https://www.notino.co.uk/sol-de-janeiro/bom-dia-jet-set-gift-setfor-body/,24.0,N/A,2023-12-22,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
7,Gucci,Flora Gorgeous Gardenia,https://www.notino.co.uk/gucci/flora-gorgeous-gardenia-eau-de-parfum-for-women/,23.5,N/A,2023-12-22,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
8,Burberry,Her,https://www.notino.co.uk/burberry/her-eau-de-parfum-for-women/,47.7,N/A,2023-12-22,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
9,Viktor & Rolf,GOOD FORTUNE,https://www.notino.co.uk/viktor-rolf/good-fortune-eau-de-parfum-for-women/,43.0,N/A,2023-12-22,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
10,Calvin Klein,Eternity,https://www.notino.co.uk/calvin-klein/eternity-eau-de-parfum-for-women/,31.5,N/A,2023-12-22,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
11,Burberry,Burberry for Women,https://www.notino.co.uk/burberry/london-for-women1995-eau-de-parfum-for-women/,17.7,N/A,2023-12-22,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
12,Coty,Exclamation,https://www.notino.co.uk/coty/exclamation-eau-de-cologne-for-women/,5.4,N/A,2023-12-22,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
13,Burberry,Weekend for Women,https://www.notino.co.uk/burberry/weekend-for-women-eau-de-parfum-for-women/,16.8,N/A,2023-12-22,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
