Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,brand,Yardley London Luxe Gardenia Eau de Toilette 50ml,https://www.boots.com/yardley-london-luxe-gardenia-eau-de-toilette-50ml-10262617,25.00,10262617,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
2,brand,DIOR Hypnotic Poison Eau de Parfum 50ml,https://www.boots.com/fragrance/perfume/all-perfume/dior-hypnotic-poison-eau-de-parfum-50ml-10168982,97.00,10168982,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
3,brand,Prada Paradoxe Eau de Parfum 30ml,https://www.boots.com/prada-paradoxe-eau-de-parfum-30ml-10317216,65.00,10317216,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
4,brand,YSL Black Opium Le Parfum 90ml,https://www.boots.com/ysl-black-opium-le-parfum-90ml-10322860,135.00,10322860,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
5,brand,MUGLER Angel Refillable Eau de Parfum 50ml,https://www.boots.com/mugler-angel-eau-de-parfum-50ml-10292099,92.00,10292099,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
6,brand,Jimmy Choo Fever Eau de Parfum 40ml,https://www.boots.com/jimmy-choo-fever-eau-de-parfum-40ml-10255373,50.00,10255373,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
7,brand,Pure & Co Mimosa and Fig Tree body spray 100ml,https://www.boots.com/pure-and-co-mimosa-body-spray-100ml-10285915,3.00,10285915,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
8,brand,Tom Ford Cafe Rose Eau de Parfum 50ml,https://www.boots.com/tom-ford-cafe-rose-eau-de-parfum-50ml-10332605,106.00,10332605,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
9,brand,Carolina Herrera Good Girl Eau de Parfum 80ml,https://www.boots.com/fragrance/perfume/all-perfume/Carolina-Herrera-Good-Girl-Eau-de-Parfum-80ml-10243599,112.50,10243599,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
10,brand,Lancôme La Vie Est Belle Intensément Eau de Parfum 50ml,https://www.boots.com/lanc%C3%B4me-la-vie-est-belle-intens%C3%A9ment-eau-de-parfum-50ml-10274773,97.00,10274773,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
11,brand,Gucci Flora Gorgeous Gardenia Eau de Parfum 30ml,https://www.boots.com/fragrance/perfume/all-perfume/gucci-flora-gorgeous-gardenia-eau-de-parfum-30ml-10299777,68.00,10299777,2023-11-06,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
