Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,brand,YSL Black Opium Illicit Green Eau de Parfum 75ml,https://www.boots.com/ysl-black-opium-illicit-green-eau-de-parfum-75ml-10306771,52.50,10306771,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
2,brand,DIOR Miss Dior Eau de Parfum 100ml,https://www.boots.com/dior-miss-dior-eau-de-parfum-100ml-10300556,109.60,10300556,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
3,brand,CHANEL COCO MADEMOISELLE Eau de Parfum Spray 100ml,https://www.boots.com/chanel-coco-mademoiselle-eau-de-parfum-spray-100ml-10012569,108.80,10012569,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
4,brand,Giorgio Armani My Way Eau de Parfum 50ml Refillable,https://www.boots.com/giorgio-armani-my-way-eau-de-parfum-50ml-refillable-10279632,55.00,10279632,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
5,brand,Lancôme La Vie Est Belle Intensément Eau de Parfum 50ml,https://www.boots.com/lanc%C3%B4me-la-vie-est-belle-intens%C3%A9ment-eau-de-parfum-50ml-10274773,48.50,10274773,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
6,brand,CHANEL N°5 Eau de Parfum Spray 100ml,https://www.boots.com/chanel-no5-eau-de-parfum-spray-100ml-10012525,108.80,10012525,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
7,brand,DIOR J'adore L'Or Essence de Parfum 50ml,https://www.boots.com/dior-jadore-lor-essence-de-parfum-50ml-10333154,144.00,10333154,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
8,brand,Emporio Armani Diamonds Eau de Parfum 50ml,https://www.boots.com/emporio-armani-diamonds-eau-de-parfum-50ml-10070841,32.00,10070841,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
9,brand,ARI by Ariana Grande Eau de Parfum 100ml,https://www.boots.com/ari-by-ariana-grande-eau-de-parfum-spray-100ml-10202110,24.50,10202110,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
10,brand,MUGLER Alien Goddess Refillable Eau de Parfum 60ml,https://www.boots.com/mugler-alien-goddess-eau-de-parfum-60ml-10299391,92.00,10299391,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
11,brand,Emporio Armani Diamonds Rose Eau de Toilette 50ml,https://www.boots.com/emporio-armani-diamonds-rose-eau-de-toilette-50ml-10156910,32.00,10156910,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
12,brand,CHANEL COCO MADEMOISELLE Eau de Parfum Spray 50ml,https://www.boots.com/chanel-coco-mademoiselle-eau-de-parfum-spray-50ml-10012570,99.00,10012570,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
13,brand,Marc Jacobs Dot Eau de Parfum 50ml,https://www.boots.com/marc-jacobs-dot-eau-de-parfum-50ml-10142207,70.00,10142207,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
14,brand,Gucci Bamboo for Her Eau de Parfum 50ml,https://www.boots.com/gucci-bamboo-eau-de-parfum-50ml-10196274,49.50,10196274,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
15,brand,Jimmy Choo Blossom Eau de Parfum 60ml,https://www.boots.com/jimmy-choo-blossom-eau-de-parfum-60ml-10189882,58.00,10189882,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
16,brand,Estée Lauder Beautiful Eau de Parfum 75ml,https://www.boots.com/estee-lauder-beautiful-eau-de-parfum-spray-75ml-10013616,46.75,10013616,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
17,brand,GHOST Deep Night Eau De Toilette 50ml,https://www.boots.com/ghost-deep-night-eau-de-toilette-50ml-10013255,22.00,10013255,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
18,brand,Marc Jacobs Daisy Dream Forever Eau de Parfum 50ml,https://www.boots.com/marc-jacobs-daisy-dream-forever-eau-de-parfum-50ml-10200012,46.00,10200012,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
19,brand,BOSS The Scent For Her Eau de Parfum 50ml,https://www.boots.com/hugo-boss-boss-the-scent-for-her-eau-de-parfum-50ml-10217017,55.00,10217017,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
20,brand,MUGLER Alien Goddess Refillable Eau de Parfum 90ml,https://www.boots.com/mugler-alien-goddess-eau-de-parfum-90ml-10299392,125.00,10299392,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
21,brand,Fenty Eau de Parfum Fragrance 75ml,https://www.boots.com/fenty-eau-de-parfum-75ml-10333562,115.00,10333562,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
22,brand,Q By Dolce & Gabbana Eau de Parfum 100ml,https://www.boots.com/q-by-dolce-gabbana-eau-de-parfum-100ml-10324591,57.50,10324591,2023-12-21,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
