Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,brand,CHANEL N°5 Eau de Parfum Spray 100ml,https://www.boots.com/fragrance/perfume/all-perfume/chanel-no5-eau-de-parfum-spray-100ml-10012525,115.6,10012525,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
2,brand,CHANEL N°5 Eau de Parfum Spray 50ml,https://www.boots.com/fragrance/perfume/all-perfume/chanel-no5-eau-de-parfum-spray-50ml-10012533,84,10012533,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
3,brand,CHANEL N°5 Eau de Parfum Spray 35ml,https://www.boots.com/fragrance/perfume/all-perfume/chanel-no5-eau-de-parfum-spray-35ml-10012545,60.35,10012545,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
4,brand,CHANEL COCO Eau de Parfum Spray 100ml,https://www.boots.com/fragrance/perfume/all-perfume/chanel-coco-eau-de-parfum-spray-100ml-10012553,121,10012553,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
5,brand,CHANEL COCO EAU DE PARFUM SPRAY,https://www.boots.com/fragrance/perfume/all-perfume/chanel-coco-eau-de-parfum-spray-35ml-10012559,60.35,10012559,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
6,brand,CHANEL COCO Eau de Parfum Spray 50ml,https://www.boots.com/fragrance/perfume/all-perfume/chanel-coco-eau-de-parfum-spray-50ml-10012561,84.15,10012561,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
7,brand,CHANEL COCO Eau de Toilette Spray 50ml,https://www.boots.com/fragrance/perfume/all-perfume/chanel-coco-eau-de-toilette-spray-50ml-10012562,71.4,10012562,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
8,brand,CHANEL COCO MADEMOISELLE Eau de Parfum Spray 100ml,https://www.boots.com/fragrance/perfume/all-perfume/chanel-coco-mademoiselle-eau-de-parfum-spray-100ml-10012569,115.6,10012569,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
9,brand,CHANEL COCO MADEMOISELLE Eau de Parfum Spray 50ml,https://www.boots.com/fragrance/perfume/all-perfume/chanel-coco-mademoiselle-eau-de-parfum-spray-50ml-10012570,84.15,10012570,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
10,brand,Estée Lauder Pleasures Eau de Parfum 30ml,https://www.boots.com/fragrance/perfume/all-perfume/estee-lauder-pleasures-eau-de-parfum-spray-30ml-10013130,55,10013130,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
11,brand,Estée Lauder Beautiful Eau de Parfum 30ml,https://www.boots.com/fragrance/perfume/all-perfume/estee-lauder-beautiful-eau-de-parfum-spray-30ml-10013162,55,10013162,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
12,brand,Cacharel Anaïs Anaïs Eau de Toilette Spray 50ml,https://www.boots.com/fragrance/perfume/all-perfume/cacharel-ana%C3%AFs-ana%C3%AFs-eau-de-toilette-spray-50ml-10011349,30,10011349,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
13,brand,Cacharel Anaïs Anaïs Eau de Toilette Spray 30ml,https://www.boots.com/fragrance/perfume/all-perfume/cacharel-ana%C3%AFs-ana%C3%AFs-eau-de-toilette-spray-30ml-10011350,22,10011350,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
14,brand,GHOST Deep Night Eau De Toilette 50ml,https://www.boots.com/fragrance/perfume/all-perfume/ghost-deep-night-eau-de-toilette-50ml-10013255,44,10013255,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
15,brand,GHOST Eau De Toilette Spray 50ml,https://www.boots.com/fragrance/perfume/all-perfume/ghost-eau-de-toilette-spray-50ml-10013260,26.66,10013260,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
16,brand,Gucci Rush for Her Eau de Toilette 50ml,https://www.boots.com/fragrance-offers/fragrance-offers-save-up-to-half-price/gucci-rush-eau-de-toilette-spray-50ml-10013273,49.99,10013273,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
17,brand,Cacharel Eden Eau De Parfum Spray 30ml,https://www.boots.com/fragrance/perfume/all-perfume/cacharel-eden-eau-de-parfum-spray-30ml-10011358,22,10011358,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
18,brand,Cacharel Eden Eau De Parfum Spray 50ml,https://www.boots.com/fragrance/perfume/all-perfume/cacharel-eden-eau-de-parfum-spray-50ml-10011359,30,10011359,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
19,brand,Cacharel Noa Eau De Toilette Spray 100ml,https://www.boots.com/fragrance/perfume/all-perfume/cacharel-noa-eau-de-toilette-spray-100ml-10011365,40,10011365,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
20,brand,Cacharel Noa Eau De Toilette Spray 50ml,https://www.boots.com/fragrance/perfume/all-perfume/cacharel-noa-eau-de-toilette-spray-50ml-10011367,45.05,10011367,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
21,brand,Calvin Klein CK One Unisex Eau de Toilette 100ml,https://www.boots.com/beauty/luxury-beauty-skincare/luxury-beauty-offers/calvin-klein-ck-one-eau-de-toilette-100ml-10011373,39.2,10011373,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
22,brand,Calvin Klein Eternity for Women Eau de Parfum 30ml,https://www.boots.com/fragrance/perfume/all-perfume/calvin-klein-eternity-eau-de-parfum-spray-30ml-10011387,45,10011387,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
23,brand,Calvin Klein Eternity for Women Eau de Parfum 100ml,https://www.boots.com/fragrance/perfume/all-perfume/calvin-klein-eternity-eau-de-parfum-spray-100ml-10011388,64,10011388,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
24,brand,Calvin Klein Eternity for Women Eau de Parfum 50ml,https://www.boots.com/beauty/luxury-beauty-skincare/luxury-beauty-offers/calvin-klein-eternity-eau-de-parfum-spray-50ml-10011390,47.2,10011390,29-10-2023,,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
