Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,brand,Lancôme La Vie Est Belle Intensément Eau de Parfum 50ml,https://www.boots.com/fragrance/perfume/all-perfume/lanc%C3%B4me-la-vie-est-belle-intens%C3%A9ment-eau-de-parfum-50ml-10274773,48.50,10274773,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
2,brand,YSL Black Opium Neon Eau de Parfum 75ml,https://www.boots.com/yves-saint-laurent-black-opium-neon-eau-de-parfum-75ml-10275718,105.00,10275718,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
3,brand,CHANEL COCO MADEMOISELLE Eau de Parfum Spray 100ml,https://www.boots.com/chanel-coco-mademoiselle-eau-de-parfum-spray-100ml-10012569,108.80,10012569,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
4,brand,Marc Jacobs Daisy Eau de Toilette 50ml,https://www.boots.com/marc-jacobs-daisy-eau-de-toilette-50ml-10075195,42.00,10075195,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
5,brand,CHANEL N°5 Eau de Parfum Spray 100ml,https://www.boots.com/chanel-no5-eau-de-parfum-spray-100ml-10012525,108.80,10012525,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
6,brand,CHANEL COCO MADEMOISELLE EAU DE PARFUM INTENSE SPRAY 100ml,https://www.boots.com/chanel-coco-mademoiselle-eau-de-parfum-intense-spray-100ml-10243535,119.00,10243535,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
7,brand,DIOR J'adore Eau de Parfum Spray 100ml,https://www.boots.com/dior-jadore-eau-de-parfum-spray-100ml-10011441,122.00,10011441,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
8,brand,Mugler Alien Goddess Intense Eau de Parfum 60ml,https://www.boots.com/mugler-alien-goddess-intense-eau-de-parfum-60ml-10305615,97.00,10305615,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
9,brand,DIOR Miss Dior Eau de Parfum 100ml,https://www.boots.com/dior-miss-dior-eau-de-parfum-100ml-10300556,109.60,10300556,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
10,brand,Emporio Armani She Eau de Parfum 50ml,https://www.boots.com/emporio-armani-she-edp-50ml-10290111,27.50,10290111,2023-11-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
