Product_Category,Product_Subcategory,Product_Brand,Product_Name,Product_Price,Size,Stock_Status,Product_Availability,Sku_Id,Brand_Status,Date,Retailer
Fragrance,Womens Fragrance,DIOR,Miss Dior eau de parfum for women,93.90,50 ml,In stock,In stock,16086004,Dior,2023-11-22,Notino
Fragrance,Womens Fragrance,Yves Saint Laurent,Black Opium eau de parfum for women,65.80,50 ml,In stock,In stock,451793,Competitor,2023-11-22,Notino
Fragrance,Womens Fragrance,Armani,My Way Floral eau de parfum refillable for women,78.20,50 ml,In stock,In stock,16125478,Competitor,2023-11-22,Notino
Fragrance,Womens Fragrance,Lancôme,La Vie Est Belle Intensément eau de parfum for women,80.00,50 ml,In stock,In stock,16014084,Competitor,2023-11-22,Notino
Fragrance,Womens Fragrance,Prada,Paradoxe eau de parfum refillable for women,n/a,50 ml,This item is currently unavailable,This item is currently unavailable,16143146,Competitor,2023-11-22,Notino
