Product_Category,Product_Subcategory,Product_Brand,Product_Name,Product_Price,Size,Stock_Status,Product_Availability,Sku_Id,Brand_Status,Date,Retailer
Fragrance,Womens Fragrance,DIOR,DIOR Miss Dior eau de parfum for women,92.70,50 ml,In Stock,In stock ,16086004,Dior,2023-10-31,Notino
Fragrance,Womens Fragrance,Yves Saint Laurent,Yves Saint Laurent Black Opium eau de parfum for women,70.20,50 ml,In Stock,In stock ,451793,Competitor,2023-10-31,Notino
Fragrance,Womens Fragrance,Armani,Armani My Way Floral eau de parfum refillable for women,70.10,50 ml,In Stock,In stock ,16125478,Competitor,2023-10-31,Notino
Fragrance,Womens Fragrance,Lancôme,Lancôme La Vie Est Belle Intensément eau de parfum for women,72.20,50 ml,In Stock,In stock ,16014084,Competitor,2023-10-31,Notino
Fragrance,Womens Fragrance,Prada,Prada Paradoxe eau de parfum refillable for women,83.50,50 ml,In Stock,In stock ,16143146,Competitor,2023-10-31,Notino
