Product_Category,Product_Subcategory,Product_Brand,Product_Name,Product_Price,Size,Stock_Status,Product_Availability,Sku_Id,Brand_Status,Date,Retailer
Fragrance,Womens Fragrance,christian dior,DIOR Miss Dior Eau de Parfum 50ml,82.00,50ml,In Stock,Add to basket,10300555,Dior,2023-10-29,Boots
Fragrance,Womens Fragrance,yves saint laurent,YSL Black Opium Eau de Parfum 50ml,77.00,50ml,In Stock,Add to basket,10180311,Competitor,2023-10-29,Boots
Fragrance,Womens Fragrance,giorgio armani,Armani My Way Floral Eau de Parfum 50ml,73.60,50ml,In Stock,Add to basket,10314493,Competitor,2023-10-29,Boots
Fragrance,Womens Fragrance,lancome,Lancôme La Vie Est Belle Eau de Parfum 50ml,77.00,50ml,In Stock,Add to basket,10145849,Competitor,2023-10-29,Boots
Fragrance,Womens Fragrance,prada,Prada Paradoxe Eau de Parfum 50ml,78.20,50ml,In Stock,Add to basket,10317217,Competitor,2023-10-29,Boots
