Product_Category,Product_Subcategory,Product_Brand,Product_Name,Product_Price,Size,Stock_Status,Product_Availability,Sku_Id,Brand_Status,Date,Retailer
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-13,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,58.8,50 ml,In stock,In Stock,451793,Competitor,2023-11-13,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,84.3,50 ml,In stock,In Stock,16125478,Competitor,2023-11-13,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.1,50 ml,In stock,In Stock,16014084,Competitor,2023-11-13,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,87.8,50 ml,In stock,In Stock,16143146,Competitor,2023-11-13,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-14,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,69.2,50 ml,In stock,In Stock,451793,Competitor,2023-11-14,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,76,50 ml,In stock,In Stock,16125478,Competitor,2023-11-14,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.1,50 ml,In stock,In Stock,16014084,Competitor,2023-11-14,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,87.8,50 ml,In stock,In Stock,16143146,Competitor,2023-11-14,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-15,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,69.2,50 ml,In stock,In Stock,451793,Competitor,2023-11-15,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,82.1,50 ml,In stock,In Stock,16125478,Competitor,2023-11-15,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.1,50 ml,In stock,In Stock,16014084,Competitor,2023-11-15,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,76.1,50 ml,In stock,In Stock,16143146,Competitor,2023-11-15,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-16,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,69.2,50 ml,In stock,In Stock,451793,Competitor,2023-11-16,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,82.1,50 ml,In stock,In Stock,16125478,Competitor,2023-11-16,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.1,50 ml,In stock,In Stock,16014084,Competitor,2023-11-16,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,76.2,50 ml,In stock,In Stock,16143146,Competitor,2023-11-16,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-17,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,69.2,50 ml,In stock,In Stock,451793,Competitor,2023-11-17,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,82.1,50 ml,In stock,In Stock,16125478,Competitor,2023-11-17,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.1,50 ml,In stock,In Stock,16014084,Competitor,2023-11-17,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,78.4,50 ml,In stock,In Stock,16143146,Competitor,2023-11-17,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-18,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,69.2,50 ml,In stock,In Stock,451793,Competitor,2023-11-18,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,82.1,50 ml,In stock,In Stock,16125478,Competitor,2023-11-18,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.1,50 ml,In stock,In Stock,16014084,Competitor,2023-11-18,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,78.4,50 ml,In stock,In Stock,16143146,Competitor,2023-11-18,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-19,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,69.2,50 ml,In stock,In Stock,451793,Competitor,2023-11-19,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,82.1,50 ml,In stock,In Stock,16125478,Competitor,2023-11-19,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.1,50 ml,In stock,In Stock,16014084,Competitor,2023-11-19,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,78.3,50 ml,In stock,In Stock,16143146,Competitor,2023-11-19,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-21,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,65.7,50 ml,In stock,In Stock,451793,Competitor,2023-11-21,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,78,50 ml,In stock,In Stock,16125478,Competitor,2023-11-21,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,79.8,50 ml,In stock,In Stock,16014084,Competitor,2023-11-21,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-11-21,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-22,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,65.8,50 ml,In stock,In Stock,451793,Competitor,2023-11-22,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,78.2,50 ml,In stock,In Stock,16125478,Competitor,2023-11-22,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,80,50 ml,In stock,In Stock,16014084,Competitor,2023-11-22,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-11-22,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,84.4,50 ml,In stock,In Stock,16086004,Dior,2023-11-24,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,67,50 ml,In stock,In Stock,451793,Competitor,2023-11-24,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,78.2,50 ml,In stock,In Stock,16125478,Competitor,2023-11-24,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,80,50 ml,In stock,In Stock,16014084,Competitor,2023-11-24,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-11-24,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,84.4,50 ml,In stock,In Stock,16086004,Dior,2023-11-26,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,68,50 ml,In stock,In Stock,451793,Competitor,2023-11-26,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,78.2,50 ml,In stock,In Stock,16125478,Competitor,2023-11-26,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,80,50 ml,In stock,In Stock,16014084,Competitor,2023-11-26,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-11-26,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,84.4,50 ml,In stock,In Stock,16086004,Dior,2023-11-29,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,70,50 ml,In stock,In Stock,451793,Competitor,2023-11-29,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,78.2,50 ml,In stock,In Stock,16125478,Competitor,2023-11-29,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,80,50 ml,In stock,In Stock,16014084,Competitor,2023-11-29,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-11-29,Notino
